guest_id,age,family_size,first_visit,visit_frequency,visit_motivation,venue,education_program,spending,satisfaction,learning_score,likelihood_return,likelihood_recommend,participated_booth
10001,56,3,no,First visit,Entertainment,Garden,No,14.617588071222006,5.0,1.0,5.0,5.0,5
10002,69,5,no,Quarterly,Entertainment,Curiosity Museum,Yes,11.74261789294715,5.0,3.0,5.0,5.0,5
10003,46,4,yes,Quarterly,Exhibits,Farm,No,15.875554362268435,5.0,3.0,5.0,5.0,3
10004,32,5,no,Quarterly,Education,Farm,Yes,5.94211603144568,4.0,2.0,3.0,4.0,3
10005,60,5,no,First visit,Family Time,Garden,No,9.851911097354435,4.0,2.0,4.0,4.0,4
10006,25,1,no,Quarterly,Special Event,Events,Yes,0.0,4.0,2.0,4.0,4.0,1
10007,38,4,no,Rarely,Special Event,Garden,No,29.605893462785517,3.0,3.0,3.0,3.0,3
10008,56,6,no,Quarterly,Nature,Events,No,19.48196670482643,4.0,4.0,4.0,3.0,5
10009,36,3,no,First visit,Entertainment,Curiosity Museum,Yes,3.3981623394985476,4.0,5.0,4.0,4.0,5
10010,40,4,no,Monthly,Entertainment,Events,No,43.481024720328584,3.0,4.0,4.0,2.0,2
10011,28,4,no,First visit,Entertainment,Garden,No,16.3052472058858,3.0,2.0,4.0,3.0,2
10012,28,4,no,Quarterly,Special Event,Curiosity Museum,Yes,0.0,5.0,2.0,5.0,5.0,2
10013,41,4,no,Monthly,Nature,Dinosaurs,No,27.851061322056875,3.0,2.0,4.0,3.0,1
10014,70,4,yes,Quarterly,Education,Farm,Yes,20.970723247638936,5.0,3.0,5.0,4.0,4
10015,53,3,no,Rarely,Exhibits,Garden,No,20.91869978226329,4.0,2.0,4.0,4.0,1
10016,57,5,no,Rarely,Family Time,Garden,No,8.613665930226142,4.0,3.0,3.0,4.0,4
10017,41,1,no,Weekly,Education,Garden,Yes,21.757435856670522,4.0,3.0,4.0,3.0,5
10018,20,2,no,First visit,Special Event,Curiosity Museum,No,11.073625646683581,5.0,3.0,5.0,5.0,3
10019,39,1,no,Rarely,Exhibits,Dinosaurs,No,23.339121774687634,5.0,3.0,5.0,4.0,3
10020,70,2,no,Quarterly,Exhibits,Events,No,0.0,4.0,3.0,3.0,5.0,3
10021,19,4,no,Quarterly,Exhibits,Dinosaurs,No,8.491898055312163,5.0,4.0,5.0,5.0,5
10022,41,5,yes,First visit,Entertainment,Curiosity Museum,No,40.83232646712292,4.0,2.0,4.0,4.0,3
10023,61,5,no,Quarterly,Family Time,Garden,No,3.493988168995497,5.0,4.0,5.0,4.0,4
10024,47,2,no,Quarterly,Special Event,Farm,Yes,5.942425537602204,4.0,4.0,3.0,4.0,5
10025,55,6,no,First visit,Special Event,Garden,No,8.280579923250373,3.0,3.0,2.0,3.0,5
10026,19,5,yes,Monthly,Exhibits,Events,No,0.0,4.0,4.0,4.0,4.0,5
10027,38,4,yes,First visit,Special Event,Farm,No,0.0,4.0,4.0,4.0,4.0,1
10028,50,6,no,Rarely,Family Time,Garden,No,11.541204022145807,4.0,2.0,5.0,4.0,5
10029,29,8,yes,First visit,Family Time,Farm,No,17.037891361224855,5.0,3.0,5.0,5.0,5
10030,39,3,yes,First visit,Nature,Dinosaurs,No,14.212423971920217,4.0,3.0,4.0,4.0,5
10031,61,4,yes,Monthly,Nature,Curiosity Museum,No,12.826821570781698,3.0,3.0,4.0,4.0,2
10032,42,6,yes,Rarely,Education,Garden,Yes,15.645613062755814,5.0,4.0,5.0,5.0,3
10033,66,5,yes,Rarely,Family Time,Events,No,30.342622073261463,4.0,3.0,4.0,4.0,2
10034,44,1,no,First visit,Family Time,Dinosaurs,No,12.143307211061748,4.0,5.0,4.0,4.0,3
10035,59,5,no,Quarterly,Family Time,Garden,Yes,6.388761343690955,5.0,3.0,5.0,4.0,5
10036,45,6,no,Quarterly,Nature,Dinosaurs,No,10.783117726678705,5.0,3.0,5.0,4.0,3
10037,33,5,no,Rarely,Exhibits,Events,No,23.690201396351636,5.0,2.0,5.0,5.0,4
10038,32,5,no,First visit,Exhibits,Garden,Yes,36.180403178148744,4.0,4.0,4.0,3.0,4
10039,64,6,yes,Monthly,Special Event,Events,Yes,5.577843912462325,4.0,3.0,4.0,3.0,5
10040,68,3,yes,Rarely,Exhibits,Farm,Yes,16.484006805433257,3.0,4.0,3.0,4.0,1
10041,61,3,no,Rarely,Entertainment,Events,No,20.075361629039396,4.0,3.0,4.0,3.0,4
10042,72,5,yes,First visit,Nature,Farm,Yes,0.11132989906765645,5.0,3.0,5.0,5.0,4
10043,69,6,no,Quarterly,Family Time,Garden,Yes,15.306257508193772,5.0,3.0,5.0,5.0,5
10044,74,3,no,Rarely,Exhibits,Farm,No,0.0,4.0,3.0,4.0,3.0,1
10045,20,4,no,Rarely,Nature,Garden,Yes,0.0,2.0,5.0,2.0,2.0,1
10046,54,5,yes,First visit,Exhibits,Garden,Yes,20.501196118383856,5.0,4.0,5.0,5.0,2
10047,68,4,yes,Weekly,Education,Curiosity Museum,Yes,9.241878880038257,2.0,4.0,2.0,2.0,1
